,text,label
37,"주갤러 ㅈ됬음. 자이루가 고소한데,",1
38,한녀 똥튀기보다 콘서트장 관계자들이 개불쌍함,1
39,질염똥돼지 기어들어왔노,1
40,총을 왜쏘냐?,0
41,ㅋㅋㅋㅋ 노괴들 발작 존나 심해졌노,1
42,선지피싸개가 말라는 똥 싸개 너네 똥싸개지 ㅋ,1
43,한남들이 지애미 한녀년 전부칠때 칭찬했음 저게 통하지ㅋㅋㅋㅋ,1
44,똥튀기 한녀는 걸스캔두애니똥!,1
45,한남들은 지애미 한녀가 전부치면 칭찬하고 도와줌?ㅋㅋㅋㅋㅋㅋ,1
46,그냥 고양이나 끼고 살어 븅신 노괴들아,1
47,화교혼혈 넘쳐나던 시대엔 미남미녀 연예인 많았는데,0
48,외녀보다 한녀가 더 좋음 ㅋㅋ,1
49,선지피싸개가 말하는 키작은 새끼가,1
50,한녀가 아무데서나 똥싸는게 뭐가 문제야?,1
51,한녀 사격배우면 한남 대가리 날리는 기쁨에 총쏠듯ㅋㅋㅋㅋㅋㅋㅋ,1
52,고소 진행합니다,0
53,그래 군대가서 총쏘는법좀 배워ㅋㅋ,0
54,애들아 그동안 여혐한거 반성하자,0
55,한녀들아~ 똥 마려우면 신문지라도 깔고 싸라...맨 바닥에 싸놔?,1
56,한녀보란듯이 외녀 희생하면서 칭찬하는 한남꼬라지 개웃기노ㅋㅋ,1
57,외국여자들도 실수하는데?ㅠ,0
58,이야 진또베기가 왔노? ㅋㅋㅋㅋ,0
59,키작 고블린년 또 기어 들어왔노?ㅋㅋㅋ,0
60,한남 똥팬티 빨아주는 병신년이 요즘 으뎃노?,1
61,닭장 노괴들 일상,1
62,나거한도 화교혼혈이 급증할때 미남이 많이 나옴,0
63,노괴들 결혼 하던 안하던 알빠노?,1
64,한녀들 군대보내면 사격으로 한남 대가리부터 날릴듯ㅋㅋㅋㅋ,1
65,울아빠 치매끼 있나봄 돈 줘도 안받았다네 돌겠다 ㅅㅂ,1
66,일본여자들이 원하는 키 근황,0
67,틀딱들이 여자 못만나니까 선동하는 갤,0
68,야즈벡 업체끼고 해도 3천이면 충분,0
69,223.33은 또 누구냐 새시대냐?,0
70,진짜 똥괴들 한남 죽어도 못 잃는거 소름돋네,1
71,총기 탈취당한 씹버러지 한녀들 ㅋㅋ,1
72,그냥 무난한 한녀혼하는게 좋을듯,1
73,이미 결혼한 한녀들도 곧 이혼각아니노ㅋㅋㅋㅋㅋ,1
74,똥튀기 한녀들한테는 여성징병이 필요하다,1
75,한녀들이 결혼안하는건 존나 현명한일임ㅋㅋㅋ 명절노예노?,1
76,가슴에 힘 꽉들어갔던 시절은 지났어...축쳐진 할매젖으로 어디서 나대?,0
77,저러니까 요즘 한녀들 죽어라고 결혼안하지ㅋㅋㅋㅋㅋㅋ,1
78,왜.한녀가 더 비싼데. 국결이 매매혼이야?,1
79,고도비만 질염돼지는 똥냄새보다 심한 냄새가,1
80,딥스테이트 일루미나티 얘기는 안하냐,0
81,그동안 저런 칭찬 못받고 전부친 한녀들 천만원 정도 내놓으라할듯,1
82,한녀보라고 미국녀 칭찬하는 한남들아 전부치면 천만원받아야하노?,1
83,똥얘기 그만해 씨발놈들아,1
84,왜 성매매는 불법인데 국제결혼은 합법이야?ㅜ,0
85,주갤 4050 늙다리새끼들 ㄷㄷ,1
86,재업) 국결 근황 ㅗㅜㅑ jpg,0
87,너네 돈주고 여자사오는게 성매매랑 뭐가달라?,0
88,한녀들 저칭찬보고 오늘 남편갈구겠노ㅋㅋㅋㅋ걍 이혼하거나ㅋㅋㅋ,1
89,나도 잘생겼으면 스시녀 만났을텐데,0
90,어리고 건강한 외녀만나서 건강한 아이낳고,0
91,아무데서나 똥지리는 거 정신병이야,1
92,미국녀 전부쳤다고 칭찬받는데 이번에 칭찬못받은 한녀있긔?,1
93,못생긴 주갤러는 돈으로 여자 사는 수 밖에 없구나,0
94,와 나 이번에 전부치고 남편한테 칭찬못받았는데 내년 가지말까,0
95,한녀혐오 안하는게 정신병이야,1
96,아무도 안 들어주는데 혼자 떠드는거 정신병이야 ㅠ,1
97,여성혐오 심하게하는거 정신병이야ㅠ,1
98,요즘 여자들이 연애를 안하는 이유 사진으로 요약,0
99,전세계에서 버림받은 한노괴가 '외녀는 느그 안만나준다' 하면서 훈계질 ㅋ,1
100,젊고 예쁜 베트걸 놔두고 한녀노괴혼을 왜하냐 ㅋㅋ,1
101,글의 70프로가 노괴분탕글이노ㅋㅋ,1
102,2030한남들 결혼못한다에 한뚜껑 부랄 걺,0
103,이제 그만싸울때도 되지않았오?,0
104,지인 독두꺼비인데 일본에서 결혼함,0
105,똥튀기 한녀들 괄약근 단속시킬 방법은 여성징병 뿐이다,1
106,이거 대한민국 여자 상위몇%임?,0
107,일본가서 탕핑믹타우하는 게,0
108,???:스시녀가 너네 안 만나준다니까??,0
109,미모 쩌는 프리다이빙 처자,0
110,이젠 젠더 평등해졌으니까 그만 싸우는게 좋을거같애,0
111,"한녀들 치석, 잇몸병 쩔드만...똥꼬도 터져 똥 질질 싸고 지랄이야",1
112,스시녀가 안만나준다 이런 개소리 왜 함?,0
113,여성들이 남혐했던건 니네들이 이해해줘야지ㅜ,0
114,주식갤러리 중국인들이 선동하는거맞네,0
115,나름 일침이랍시고 짤까지 쓴것같다만...,0
116,나 삭발페미한테 굴욕당해본적 있음,1
117,표정부터 한녀랑 일본여자랑 극과극이다,1
118,걍 니들 글 싸는것만 봐도 면상이 보임,0
119,주식 갤러리는 사이비 종교 같다,0
120,전공의 이탈로 사망자 발생한다면,0
121,일본에 먹힌다고?,0
122,요즘은 남혐하는 여자 거의없지않아?,0
123,여혐 그만좀해 이렇게 부탁할게,0
124,일반인이 타인의 개명 이력을 조회할 수 있는 방법은 없나봐?,0
125,요즘 한녀들 물타기 하는거,1
126,요즘 남혐도 질려서 안하궁 그냥 결혼이나 하고싶네ㅜ,1
127,꿈꾸는건 힘들지않다,0
128,콘돔끼고 했으면 처녀라는 여자 찾았습니다.,0
129,한녀 욕하면 우울증이 사라진다...돈도 때돈벌게됨...이 간단한걸 이제,1
130,결혼은 20대 여자의 특권,0
131,이슬람 형님들 경험과 신념에서 나오는 당당함 봐라,0
132,여기 왠만한 한남들 나보다 근육량 적을듯,1
133,아줌마들아.중국인이나.조선족이 당신 옆에 있다는건,0
134,부처한테 한녀는 인간도 아님,1
135,긴급속보) 한녀 근황 jpg,1
136,케맨이 또왔니...,0
137,그치.. 주갤러들도 한녀 짝사랑했을텐데,1
138,동양에서 여성이왕이되면 비판적인평가받는데 영국은 왜 우호적인거임?,0
139,똥싸개 한녀들 몰려왔네,1
140,일본이 먹을까봐무서우면 군대가라 한녀야ㅋㅋ,1
141,4B운동을 평생 실천하는 한녀가 개념한녀다,1
142,작별이다 노괴,0
143,이젠 줌마단 중국인도 데려왔냐?,0
144,일본이 남녀갈등 부추기고있네,0
145,우리나라 남자들의 눈높이!!커트라인!!,0
146,주갤러의 첫사랑도 한녀였을텐데,1
147,한녀가 1등 신부감인 EU,1
148,ㅠㅠ 일본이 여혐 조장하는거야ㅠ,0
149,오프로의 법칙,0
150,한녀 99프로는 이기적이고 사악한 인성을 가진 악인이다,1
151,너희들은 노괴어 해독할수있냐?,0
152,자격증하나 없으면서 무슨 스시녀ㅋㅋ,0
153,야념글 추댓요청) 헬조선 ‘소득동질혼’ 전세계 최하.jpg,0
154,한녀가 '나 이뻐? 해줘' 시전하면 니년 조상님이 노하셨어 돈 얼마있어?,1
155,숏컷은 과학이다,0
156,일본이 저출생 조장하는거같아,0
157,노괴들아 너네도 와인녀 될 수 있다,0
158,개념없는 여자 있긴 있는데 소수야,0
159,한녀 vs 이상형 한국만벗어나도 이정도는기본!!,1
160,지나가는 한녀 배빵 치면,1
161,너네 미친거같애... 왜 한녀혐하는거야?,1
162,요즘 한녀들에게 막 대하니 눈 땡그랑게 뜨고 째려보더라. 어쩌라고?,1
163,결혼 못한 여자들이 기혼녀 내려치기하는 것도 장난아님,0
164,한국여자 혐오가 아니라 하란대로 다 해주는데 왜 저럴까,0
165,똥오줌가릴줄만 알면 외남만날수있음,0
166,말통하는 한국 여자 만나,0
167,성형충은 예쁨과 거리가 멀다 그냥 인간으로 보이지도 않는다,0
168,(피눈물을 흘리며) 니들이 외녀 만날수있을거같아? ㅠㅠ,0
169,보플 봊망,1
170,20대 한일부부다 질문있음? (인증),0
171,"요즘 번역어플 좋아서 그냥 쉽게 만난다더라,",0
172,아무리 생각해보 보플레이션이 심각했던거다.,0
173,부처 예수가 환생하모,0
174,국결 목표로 돈모으고 있는데,0
175,중고보지와 결혼하면 안되는 이유,1
176,니네들이 외국여자 만날수나 있을거같애?ㅋㅋ,0
177,중국년 아웃,1
178,"부처, 예수가 환생해도 한녀들은 범죄자취급하며 팰거다...아주 악마년들임",1
179,여기 한국여자 혐오하는 애들 한남 아닌거같오ㅜ,1
180,한녀는 다 못생겼다고 보는편이 옳다,1
181,여기 오는 도태한녀들은 주갤이랑 싸울 때가 아님,1
182,삼일에 한번씩 패는 것 <-- 조상님의 지혜다,0
183,네이트판에서 여상사 특징 10년전이랑 지금이랑 똑같네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
184,예전에 한남들이 여자한테 쓰던 돈 비용 보면,1
185,한녀들의 똥 꾸릉내에 전세계가 고통받고 있다...전부 구토중이야,1
186,한녀주작단,1
187,여기 오는 한녀들도 메타인지 좀 했으면,1
188,알랭 들롱 아들내미,0
189,기차에서 옆자리 돼지년이 애교떨음,1
190,학계의정설 <- 오랜만에듣는다ㅋㅋ,0
191,삼일한 <<< 로스트 테크놀로지같음,0
192,황제대접원하면 너네도 가장노릇 잘해야지ㅠ,0
193,평균 한녀의 시간이 끝나간다,1
194,어디가서 '나 이뻐?' 시전하지마 못생긴년들아...구토나와,1
195,본인이 여자라고 생각하는게 웃음벨 ㅋㅋㅋ,0
196,여자한테 돈 안쓰기 시작하니까,0
197,"라즈마 : ""한남싫어, 이캐맨 일남이 최고.""",1
198,한녀들 또 똥 쌌어? 똥쟁이년들이네...야 더러워 꺼져~~~똥내남,1
199,여자들이 연애를 안하는 이유는 전적으로 남.자.탓이다,0
200,한분이 한남 안산답니다,1
201,한녀충들 너무 열등함,1
202,??? : 쪽팔리게 도태남 타령하냐?,0
203,똥남아 =,0
204,노괴단 전략회의 끝에 나온 결론,1
205,이거 보면 한녀충들 존나 열등하긴 한 듯,1
206,개씹노괴카렌 새끼들은 잠재적 경제 사범 주제에,1
207,서양여자랑 결혼한 주붕이들 많네 ㅎㅎ,0
208,외녀 며느리들 특징이 ㄹㅇ 공통됨,0
209,계집이란 존재 자체가 쓸모 없음,0
210,쪽팔리게 동남아녀 타령하냐 ㅉ,0
211,도태녀들 왜 한남 안사요 그거 요즘 못해? ㅋㅋㅋㅋㅋ,1
212,사회기여도가 0 인년들이 남평가하는게 존나 웃기노 ㅋㅋ,1
213,한녀들보다 더 알뜰살뜰한데,1
214,똥 뿌드득 뿌득,0
215,적어도 외녀는 밖에서 똥은 안싸잖아,0
216,똥튀기 뺏겨서 똥남아만 부르짖는 꼴이 아주ㅋㅋ,0
217,주갤러 하는 말보면 학생때 찐따였을듯,1
218,여성을 차별하던 시대에 서양이 최고전성기였다,0
219,여혐해봤자 소용없음,0
220,치를떠는 시월드 외녀한테 주는데 뭐가문제?,0
221,오늘도 노괴는 이벽을 넘지 못합니다,1
222,양녀랑 스시녀들이 요리에 대한 거부감이 없는 이유,0
223,너네 부모 효도 여자들한테 시키길래 여자들이 안만나주니까,0
224,니들 여기서만 여혐하지말고 작은 실천이라도 해라,0
225,여혐 그만하자 ㅉ,0
226,한녀들이 발작하는 효도 강요?,1
227,한녀충들아 남자한테 헤어져! 해봐 제발 해줘 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
228,너네들ㅜ 한녀 못만나는거면서 왜 안만나는척함ㅜ,1
229,사랑해서 섹스하는게 뭐가 문제야..?,0
230,주갤러는 돈 없으면 ㄹㅇ 결혼 못함,0
231,9급7급 걸레년들 떠받들고 사는 병신들아,1
232,한녀들 화장 지우면 눈썹없고 속눈썹 없어진다는거 ㄹㅇ임?,1
233,에고가 높아서 똥오줌도 못가리는구나~,0
234,한녀들 에고 높을수밖에 없는듯,1
235,지금 2030이 84-04인가,0
236,십팔영괴술,1
237,주태남의 본처가 되느니 존잘남의 100번째 처가 나음,0
238,한녀 에고 높아서 글치 이쁘긴해,1
239,똥짬지라서 그런지 애들이 냄새맡고 뱃속에서 다 뒤져버리잖아,1
240,그냥 한국사람은 한녀 만나야지 뭔  외국녀;,1
241,"★ 한녀혼은 목매달, 벳녀혼은 최소한 은메달 ★",1
242,주갤러들 키 작고 못생겨서 서양녀는 못 꼬심,0
243,벳녀 욕하는 똥짬지년들 특징,1
244,외녀 실망임ㅜ,0
245,주갤은 틀렸다. 남자는 여자말만 잘들으면 된다.,0
246,똥은 잘도 싸는데 애는 왜 못낳음?,0
247,한남필요없다노(개ㅈ을박으며),1
248,스페인은 여성 인권 더 높아 ^^,0
249,국결한다노(오나홀을 사며),0
250,똥짬지년들 대단해 ㅋㅋㅋ,1
251,오늘도 치킹해야지 ㅋㅋㅋ,0
252,너희들도 나처럼 유럽 3번 일본 2번 다녀오면 알거야,0
253,똥남아 오랑우탄과의 이종교배만은 멈춰다오,0
254,똥싸개 한녀들 시위 못하는 이유가 기저귀 살 돈 없어서다,1
255,노괴들 이제 벳녀 못까노 ㅋㅋ,1
256,꾸르륵 푸득푸득,0
257,김정은 재산 - 490조원,0
258,노괴를 넘어선 똥괴 ㄷㄷㄷ,0
259,똥싸개 한녀들 페미시위 나갈때 기저귀 차고 나가겠네,1
260,적정애무시간,0
261,진짜 여자들 이마에 바디카운트 쓰면 해결될 것 같음,0
262,사섹좌 설날에 뭐했노,0
263,여성단체 페미들 왜 이제와서 그만하자하냐,1
264,왜 한녀만 욕하냐니,1
265,여자가 싫으면 다싫은게 아니야,0
266,한녀근황,1
267,한남근황,1
268,얘네들 이쁘다고 하는 벳녀도 최대한 한녀 닮은거,1
269,그냥 원래 여자는 집에서 애나 잘키우는게 최고임.,0
270,편의점요설녀!!10대라는데 원본!!,0
271,자격증하나 없으면서 무슨 스시녀ㅋㅋ,0
272,여자가 싫으면 다 싫은거지 한녀만 욕하는건 뭐노?,1
273,한국 진짜 망한 이유,0
274,한녀가 똥튀기 거리는건 다 이유가 있었다노,1
275,여성들의 사회진출을 장려했던게 공산당임,0
276,벳녀혼 튀기거리더니 지들 실체가 튀기ㅋㅋㅋㅋㅋㅋ,0
277,연애를 하면 섹스는 자연스러운 것이다,0
278,"생일, 크리스마스, 발렌타인데이 전부 안챙기는 한녀",1
279,너가 싫은거 아닐까 노괴야?,1
280,진지하게 한녀들이 혼혈튀기 욕할처지가됨?,1
281,나는 일녀를 만나야하는 최적화된 한남임,1
282,강간죄는 언제 폐지되냐?,0
283,무지성 국뽕글 성향에서 '그 세대/그 성별'이 많은 이유를 알겠네,0
284,"김정은, 불법 도박 사이트로 160조원 벌었다",0
285,한녀 싫다노(한녀 유튜브 허버허버 시청하며),1
286,노괴가 애낳는걸 역겨워하는 이유,1
287,남녀갈등 지겹다 시발,1
288,??? : 자기객관화를 하라노~,0
289,진보소수정당은 페미 기본 탑재네..,1
290,튀기 튀기 거리더니 ㅋㅋ,0
291,시골아재들 시발놈들 지들끼리만 꿀빨고 있었노,1
292,외녀 한녀의 결적적인 차이,1
293,연애하면 섹스는 자연스러운건대;,0
294,한녀들은 지능이 딸리는듯,1
295,애긔하더니,0
296,BJ로 똥을 싸는 한국여자 ㅋㅋ,0
297,이런게 진짜 믹타우 정석이다...jpg,0
298,한녀가 농사에 특화된 이유 딱 두개로 설명해줌,1
299,나는 솔직히 남자가 책임감만 많으면 문제가 없다노,0
300,근데 믹타우한다면서 야동보고 자위하는애는,0
301,222.108 똥싸개 한녀랑 섹스할  생각없으니  글케 알아,1
302,이거 념 보내주자 ㄱㄱ,0
303,한녀충의 보토피아 =군대,1
304,스섹권,0
305,주갤에서 도배하는 할카스 불쌍함,0
306,조선의 국기(国技)축구 <<<(이것),0
307,아제리유제,0
308,솔직히 진짜 믹타우남이면,0
309,멀쩡한태아죽이고 나이먹고 주사맞아가며 애낳으려는 노괴,0
310,한녀충이 원하는건 군대에 다 잇다,1
311,근데 믹타우하면 자위도 안함?,0
312,늙은 여자의 성욕은 농업능력과 관계가 있다,0
313,주갤럼들 어떻게든 애깔려는거보면 역겨움,0
314,한녀들이 요즘 하는 가스라이팅,1
315,커뮤중엔 디씨가 이미지 제일 괜찮은듯,0
316,한녀 가스라이팅이 얼마나 심한 상태였나?,1
317,여자가 성욕이 늘엇다고 말하는 30대 중후반은 이미 성욕이 떨어진거다,0
318,mbc 학연 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
319,똥녀 ㅜㅜ,0
320,ㅋㅋㅋ노괴단들 이제 똥튀기 안쓰노,0
321,(나이처먹고 주사를맞으며)주갤러같이 못생긴 애들이 번식욕구가 강함,0
322,한녀들 메신저공격 원툴이노 ㅋㅋ,0
323,silver sun 이 뜨면 한남은 절멸함,1
324,주갤러같이 못생긴 애들이 번식욕구가 강함,0
325,도태한남이 와인한녀를 못이기는 이유,1
326,주갤에 오는 10대들 안타까움,0
327,애들아 이거봐봨ㅋㅋㅋㅋㅋㅋㅋㅋ 우영우 대량생산 실화냐?,0
328,나이먹을 수록 결혼에 신중하고 냉정해져,0
329,"★ 한녀혼은 목매달, 벳녀혼은 최소한 은메달 ★",1
330,마통 3천ㅁ10어 억단위집 갭투자 ㅋㅋ,0
331,좆빻은 새끼들아 제발 여혐 좀 그만해 이 씹새끼들아,1
332,10대 남녀둘다 노괴줘패게생겼구만ㅋㅋ갈라치기,1
333,도태한남 좆물에 정자 있는거 확실함?,1
334,주갤들어오는 30대들 좀 불쌍함,0
335,한녀의 금전감각에 대해.araboza,1
336,하다하다 10대하고 갈라치기 ㅋㅋㅋ,0
337,10대는 자지가 싱싱할 나이대야,0
338,어휴 도태한남 새끼들,1
339,여기 노괴들은 능지 ㄹㅈㄷ네,1
340,레드필: 똥싸개 한녀를 쟁취하라. 니까 망하지,1
341,똥튀기 드립 그대로 한녀한테 토스된게 개웃김 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
342,10대주갤럼은 솔직히 진짜주갤럼이 아님,0
343,저 병신련은 주갤 올때마다 교미 관련 얘기밖에 안함 ;;,1
344,30대주갤럼이 10대주갤럼 감염 안시켰으면,0
345,헬트는 퐁퐁부인 똥 냄새도 잘 참고 존경한다,1
346,두창이는 싫어하면서,0
347,"""XXX아!""...편의점 직원에게 욕설 퍼부은 10대, 알고 보니",0
348,요즘보면 '한녀가 그럼 그렇지~' 하는게 있음 ㅋㅋ,1
349,주갤 10대는 30대늙은이들 말 듣지마,0
350,10대들도 알 수 밖에 없음,0
351,한녀알바생이 업주몰래 배달취소하는 등 기행..5개월간 500만원 피해,1
352,남자는 10대때가 엄청 전성기임,0
353,못생기면 그냥 연애 포기하삼,0
354,이혼율 50%가 아니지 않냐,0
355,이런 저지능수준의 협박이 먹히는놈도 있을라나?,0
356,반드시 국결해야하는 이유,0
357,10대 20대초반 순수한 상태인 여자들이 더 쉽게 보지벌린다,1
358,내가 한녀한테 안먹히고 일녀한테 먹히는 가장 큰 이유,0
359,10대가 주갤하는거 너무 안타까움,0
360,똥테러 한녀들 왔노?,1
361,난 이번해에 미국 시민권 땀ㅋㅋ,0
362,10대인데 주갤하는애들 좀 신기함...,0
363,매일 주갤와서 도대체 뭐하노 ㅋㅋ,0
364,근데 한녀 똥관련은 새삼스럽네,1
365,불쌍하고 안되서 그럼,0
366,끝내 주갤 탈갤하기로 마음 먹음...,0
367,여자 심리좀,0
368,공연음란죄 한녀 사건 관련해서 이해 안 되는 게이들아 꼭 봐라.,1
369,한녀: 저 비혼주의자 입니다,1
370,주갤 도태남들 발악중,0
371,노괴:나 비혼할거야! 남:ㅇ/노괴:언냐 나두나두,0
372,해외여행나가서도 길에서 똥싸는거 아니지?,0
373,국결에 필요한 영어를 위한 단.하.나.의 손길!,0
374,10대인데 주갤오는애들이 현명한거다,0
375,아줌마 내가 결혼해줄게,0
376,공연장에 화장실 없냐?,0
377,"일본 정부, 月 4500원 저출산세 징수 추진",0
378,한녀한테 환상 안품은 남자들 ㅈㄴ 많은데 ㅋㅋ,1
379,도태아줌마들 국결 못막아서 개빡치쥬? 암것도 못하쥬? ㅋ,0
380,싸고 박고 물빼고 대충 벌레 새끼도 아니고,1
381,한녀똥튀기년들 튀기드립 쏙들어간게 코미디 ㅋㅋㅋ,1
382,비혼녀가 비혼선언한다고 속은 노괴네ㅋㅋㅋ,1
383,"기생충보다 악랄한 존재, 한녀",1
384,한녀충들 자살 유행했으면 좋겠다,1
385,미국에 있다면서 영어도 애니리만큼 못하는 개돼지년이,1
386,비혼녀들이 주태남보다 차라리 낫지ㅋㅋ,0
387,아~응 이거 하나로 호주가던년들이 언어타령,1
388,"영어도 안 돼, 베트남어도 안 돼",0
389,페미시위 피자 준다고 나간년들이 개돼지인 이유,1
390,누가 똥싸라고 협박함?ㅋㅋㅋ,0
391,유튜브 국제커플 검색,0
392,주갤 ㅂㅅ들 어쩌냐 ㅋㅋ,1
393,재산반갈죽 제도 없어져도 한녀혼은 안할 듯,1
394,류현진 테마주.jpg,0
395,똥튀기 아줌마들 넉다운 직전이노 ㅋㅋㅋㅋㅋㅋ,0
396,??? : 현실은 강남8학군에 좋은여자 많음,0
397,못생겨서 정신도 못생긴 아줌마들 ㅋㅋㅋ,1
398,여성징병제~ㅋㅋㅋ,0
399,4050놈들이 성범죄 많이 저지른 이유,0
400,주갤남의 국결 호소 = 페미녀의 비혼 선언ㅋㅋ,1
401,못생기면 정신도 못생김,0
402,시위지원금 끊기니 시위도 못하는년들 ㅋㅋ,1
403,베트남 씨발년들,1
404,도태아줌마들 국결 못막아서 개빡치쥬? 암것도 못하쥬? ㅋ,0
405,주갤 도태남들 현실,0
406,주갤특) 패주면 은근 좋아함ㅋㅋ,0
407,하긴 한녀는 앞으로도 똥싸는게 가능했지 ㅋㅋㅋㅋ,1
408,수미의 라이브방송,0
409,베트남녀 때려잡기,1
410,똥싸개 아줌마들 화났다,0
411,주갤러들 하는 말만 봐도 틀딱 맞음,0
412,자격증 이나 직종 추천좀여,0
413,결국 이딴거 쳐그리는 년들도,1
414,아들은 금메달 딸은 목메달,0
415,여자나이가 깡패인건 주갤만 봐도 암 ㅋ,0
416,덕질판에 조금만 있어도 한녀들 똥오줌 싸는건 다 안다,1
417,"★ 한녀혼은 목매달, 벳녀혼은 최소한 은메달 ★",1
418,념글간 한터에서 한녀가 똥쌌다는 사진 진실..,1
419,족발련들이 와꾸 얘기를 왜 꺼내는 거지,1
420,기쁨을 주는,0
421,허버허버 단톡방가서 “똥튀기라하는데 뭐라 대처함?”,0
422,와..일베는 4050 틀딱들이 장악했네..,0
423,회사 면접보러 가서 가장 존경하는 인물 윤석열 대통령님이라 답했다,0
424,진리의 케바케인데,0
425,이거 ㄹㅇ임?,0
426,80만명이 한녀랑 결혼못하니 국결하라는거지????,1
427,이제 “튀기”라 하더라? 야갤 똥튀기련들은? ㅋㅋㅋㅋㅋㅋㅋ,0
428,못생긴 몸에 못생긴 정신이 깃드는거면,0
429,똥튀기 뺏겨서 정신이 나가버렸네ㅋㅋㅋ,0
430,[펙트] 30대 한녀 150만이 결혼 못한고 도태된게 현실 ㅋ,1
431,"韓미혼남성 시한폭탄, 곧 터진다…80만명, 韓여성과 결혼못해",0
432,한욕자약: 내 약점으로 욕하는게 걸려서 짜증난다,0
433,현 2030 한녀가 제일 멍청한 세대임,1
434,찐따남 데이트보니까 주갤러가 찐따남처럼 생겼을듯,1
435,여시에 갇혀살아서 아줌마 인생이 봊된거라고?,1
436,꼬우면 다낭 23호랑 결혼하든가 ㅋㅋ,0
437,국결이미지 좆된점,1
438,한욕자약: 내가 못생겨서 헬스장 가기 겁난다,0
439,커뮤니티에 갇혀살면 좆되는이유...txt,1
440,한녀들 80만 드립치다가 결혼못하는중,1
441,똥튀기련들 흐린눈 ㅈㄴ하노 ㅋㅋㅋ 팬티벗으면 똥내나잖아,1
442,국결이 아줌마들 호응 받아서 뭐하노? ㅋㅋㅋ,0
443,10년뒤 윤서인은 분명히 재평가될것임. 말하나하나가 틀린게없음,1
444,180이하 호빗 한남들은 결혼 하지마셈 ㅋ 돈없으면 연애도 하지마셈 ㅋ 니들 호빗 유전자 받아서 고통받을 네 후손은 뭔죄임?,1
445,1박2일 재미없고 이제 부도덕한것만 생각나요. 폐지하세요 학부모입장에서폐지비랍니다,1
446,2006년 포도밭그사나이에서 흰가운입은 연구원 정소영봐라~!!솔까 대한민국 여배우중에 최고로 이쁘고 단아했다~!!! 급식충들은 멋도모르고 윤아 아이유 떠들겠지만..,1
447,20년이 넘었다 부모는 속이 타고 억울하겠지만 이젠 묻어둬야지 그렇다면 억울하게 죽은 사람이 얼마나 많을까? 30년 지난 화성사건은 피해가족들은?그땐 가해자도 되었지만 시간이 지난 오늘은 피해자가 될수있다,1
448,24살인데 술을먹어 발랑까졋네 고딩때도 먹엇을듯,1
449,25년전이면오달수도 혈기왕성할때인데 그럴수도 있을듯 그리고 이제와서 25년일을 말하는사람도 참 이해못하겠네 혓재에 충실하고 살지 참,1
450,2년도안되 ㅇㅈㅎ 양아치에게 통수 맞으니 분하겠죠 ......그동안 sns에서 충분히 느낄 수 있었ㆍ새로운 삶을 사세요,1
